Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Cmp%,PrgDist,Shrt Cmp%,Med Cmp%,Long Cmp%,Ast,xA,A-xA,Key Passes,Final 1/3,PenBoxPasses,CrsPenBox,Prog,Matches
63,Yves Bissouma,ml MLI,MF,Brighton,24-188,1996,22.6,50.2,86.8,162.5,87.1,91.3,79,0,0.02,-0.02,0.35,3.94,0.66,0.09,3.72,Matches
64,Jayden Bogle,eng ENG,DF,Sheffield Utd,20-222,2000,8,33.9,78.2,164.9,88.5,79,54.5,0,0.03,-0.03,0.5,1.63,0.88,0.13,2.38,Matches
65,Willy Boly,ci CIV,DF,Wolves,30-031,1991,16,46.8,82.9,263.2,88.3,90.2,61.8,0.06,0.03,0.04,0.13,2.5,0.06,0,2.06,Matches
66,Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-076,1996,20.4,26.8,67,80.9,74.8,77.9,50.7,0.15,0.11,0.03,0.98,0.83,0.83,0.29,1.47,Matches
67,Robbie Brady,ie IRL,MF,Burnley,29-051,1992,11.2,33.8,68.1,142.2,82.3,70.2,43.4,0.09,0.08,0.01,0.63,1.96,0.54,0.36,2.77,Matches
68,Rhian Brewster,eng ENG,FW,Sheffield Utd,20-339,2000,8.9,17.5,74.4,53.1,83.5,80.5,56,0,0.12,-0.12,0.45,1.12,0.22,0,1.35,Matches
69,Josh Brownhill,eng ENG,MF,Burnley,25-077,1995,20.8,40,79.9,107.8,88.2,81.2,56.9,0,0.03,-0.03,0.53,2.12,0.43,0.05,1.73,Matches
70,Joe Bryan,eng ENG,"DF,FW",Fulham,27-170,1993,5.2,55.8,67.9,328.8,83.6,79.3,38.2,0,0.04,-0.04,0.58,2.5,0.58,0.38,3.65,Matches
71,Kean Bryan,eng ENG,DF,Sheffield Utd,24-125,1996,6.3,36.2,69.7,260.5,91.3,77.1,41.8,0,0.06,-0.06,0.48,2.22,0.32,0.16,1.59,Matches
72,Oliver Burke,sco SCO,FW,Sheffield Utd,23-333,1997,10.7,17.9,71.4,18,77.8,77.1,57.1,0.09,0.16,-0.07,1.12,0.37,0.47,0.09,0.56,Matches
73,Dan Burn,eng ENG,DF,Brighton,28-301,1992,15.4,56.4,75.7,232.4,79.2,84.5,44.9,0,0.03,-0.03,0.32,2.79,0.84,0.26,3.83,Matches
74,David Button,eng ENG,GK,West Brom,32-007,1989,1,37,43.2,484,100,100,36.4,0,0,0,0,0,0,0,0,Matches
75,Oskar Buur,dk DEN,DF,Wolves,22-340,1998,0.2,75,93.3,235,100,100,0,0,0,0,0,0,0,0,0,Matches
76,Willy Caballero,ar ARG,GK,Chelsea,39-159,1981,1,26,92.3,302,100,100,60,0,0,0,0,0,0,0,0,Matches
77,Gary Cahill,eng ENG,DF,Crystal Palace,35-077,1985,12,37.9,85.3,249.9,84.5,93.5,67,0,0.03,-0.03,0.25,2,0.08,0,1.83,Matches
